Submission Date,Your Name,The Name of Your Organization,Your Job Title,Please select the option/s that apply to you,z_code_relation_type,z_code_raw,z_code_label,z_code,Count Specializations,Count Interferences,NORMALIZED COUNT SPECIALTIES,NORMALIZED COUNT INTERFERENCES,Z_Group
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,specialize,Personal history of physical or sexual abuse in childhood (Z62.810),Personal history of physical or sexual abuse in childhood,Z62.810,1,0,1.0,0.0,62
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,specialize,Personal history of psychological abuse in childhood (Z62.811),Personal history of psychological abuse in childhood,Z62.811,1,0,1.0,0.0,62
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,specialize,Personal history of neglect in childhood (Z62.812),Personal history of neglect in childhood,Z62.812,1,0,1.0,0.0,62
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,specialize,Personal history of unspecified abuse in childhood (Z62.819),Personal history of unspecified abuse in childhood,Z62.819,1,0,1.0,0.0,62
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,specialize,Parent-child conflict (Z62.82),Parent-child conflict,Z62.82,1,0,1.0,0.0,62
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,specialize,Parent-foster child conflict (Z62.822),Parent-foster child conflict,Z62.822,1,0,1.0,0.0,62
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,specialize,Sibling rivalry (Z62.891),Sibling rivalry,Z62.891,1,0,1.0,0.0,62
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,interfere,Homelessness (Z59.0),Homelessness,Z59.0,0,1,0.0,1.0,59
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,interfere,Inadequate housing (Z59.1),Inadequate housing,Z59.1,0,1,0.0,1.0,59
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,interfere,Extreme poverty (Z59.5),Extreme poverty,Z59.5,0,1,0.0,1.0,59
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,interfere,Insufficient social insurance and welfare support (Z59.7),Insufficient social insurance and welfare support,Z59.7,0,1,0.0,1.0,59
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,interfere,"Problems related to housing and economic circumstances, unspecified (Z59.9)","Problems related to housing and economic circumstances, unspecified",Z59.9,0,1,0.0,1.0,59
